"","Package","Version","Depends","Imports","Built"
"1","AnnotationDbi","1.48.0","R (>= 2.7.0), methods, utils, stats4, BiocGenerics (>=
0.29.2), Biobase (>= 1.17.0), IRanges","DBI, RSQLite, S4Vectors (>= 0.9.25)","3.6.0"
"2","arrayQualityMetrics","3.42.0","","affy, affyPLM (>= 1.27.3), beadarray, Biobase, genefilter,
graphics, grDevices, grid, gridSVG (>= 1.4-3), Hmisc, hwriter,
lattice, latticeExtra, limma, methods, RColorBrewer, setRNG,
stats, utils, vsn (>= 3.23.3), XML, svglite","3.6.0"
"3","Biobase","2.46.0","R (>= 2.10), BiocGenerics (>= 0.27.1), utils","methods","3.6.0"
"4","cividis","0.2.0","R (>= 2.10), ggplot2 (>= 1.0.1), gridExtra",NA,"3.6.0"
"6","DESeq2","1.26.0","S4Vectors (>= 0.23.18), IRanges, GenomicRanges,
SummarizedExperiment (>= 1.1.6)","BiocGenerics (>= 0.7.5), Biobase, BiocParallel, genefilter,
methods, stats4, locfit, geneplotter, ggplot2, Hmisc, Rcpp (>=
0.11.0)","3.6.0"
"11","dplyr","1.1.0","R (>= 3.4.0)","cli (>= 3.4.0), generics, glue (>= 1.3.2), lifecycle (>=
1.0.3), magrittr (>= 1.5), methods, pillar (>= 1.5.1), R6,
rlang (>= 1.0.6), tibble (>= 2.1.3), tidyselect (>= 1.2.0),
utils, vctrs (>= 0.5.2)","3.6.0"
"27","ggplot2","3.4.1","R (>= 3.3)","cli, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
lifecycle (> 1.0.1), MASS, mgcv, rlang (>= 1.0.0), scales (>=
1.2.0), stats, tibble, vctrs (>= 0.5.0), withr (>= 2.5.0)","3.6.0"
"33","ggrepel","0.9.3","R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0), withr (>=
2.5.0)","3.6.0"
"38","gprofiler2","0.2.1","R (>= 3.5)","jsonlite, RCurl, ggplot2, plotly, tidyr (>= 1.0.0), crosstalk,
grDevices, gridExtra, grid, viridisLite, dplyr","3.6.0"
"39","IsoformSwitchAnalyzeR","1.8.0","R (>= 3.5), limma, DEXSeq, ggplot2","methods, BSgenome, plyr, reshape2, gridExtra, Biostrings (>=
2.50.0), IRanges, GenomicRanges, DRIMSeq, RColorBrewer,
rtracklayer, VennDiagram, DBI, grDevices, graphics, stats,
utils, GenomeInfoDb, grid, tximport (>= 1.7.1), edgeR,
futile.logger, stringr, dplyr, magrittr, readr, XVector","3.6.0"
"40","knitr","1.42","R (>= 3.3.0)","evaluate (>= 0.15), highr, methods, yaml (>= 2.1.19), xfun (>=
0.34), tools","3.6.0"
"41","optparse","1.7.3","R (>= 3.6.0)","methods, getopt (>= 1.20.2)","3.6.0"
"46","pheatmap","1.0.12","R (>= 2.0)","grid, RColorBrewer, scales, gtable, stats, grDevices, graphics","3.6.0"
"47","renv","0.17.3",NA,"utils","3.6.0"
"48","rmarkdown","2.20","R (>= 3.0)","bslib (>= 0.2.5.1), evaluate (>= 0.13), htmltools (>= 0.5.1),
jquerylib, jsonlite, knitr (>= 1.22), methods, stringr (>=
1.2.0), tinytex (>= 0.31), tools, utils, xfun (>= 0.36), yaml
(>= 2.1.19)","3.6.0"
"49","stringr","1.5.0","R (>= 3.3)","cli, glue (>= 1.6.1), lifecycle (>= 1.0.3), magrittr, rlang
(>= 1.0.0), stringi (>= 1.5.3), vctrs","3.6.0"
"52","tibble","3.1.8","R (>= 3.1.0)","fansi (>= 0.4.0), lifecycle (>= 1.0.0), magrittr, methods,
pillar (>= 1.7.0), pkgconfig, rlang (>= 1.0.2), utils, vctrs
(>= 0.3.8)","3.6.0"
"56","tidyr","1.3.0","R (>= 3.4.0)","cli (>= 3.4.1), dplyr (>= 1.0.10), glue, lifecycle (>= 1.0.3),
magrittr, purrr (>= 1.0.1), rlang (>= 1.0.4), stringr (>=
1.5.0), tibble (>= 2.1.1), tidyselect (>= 1.2.0), utils, vctrs
(>= 0.5.2)","3.6.0"
